Sector,Province,Temperature,Dew,Moisture,Wind,Cloud,Visibility,Barometric,Rain
ภาคตะวันออก,พัทยา,31.5,25.9,72,ลมสงบ,มีเมฆเป็นส่วนมาก,12.0,1010.7,0.0
ภาคตะวันออก,ระยอง,31.5,25.9,72,ทิศใต้ค่อนไปทางตะวันออก,มีเมฆบางส่วน,8.0,1010.6,0.0
ภาคตะวันออก,สระแก้ว,24.9,23.6,92,ทิศเหนือค่อนไปทางตะวันตก,ท้องฟ้าโปร่ง,7.0,1008.9,0.0
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,29.4,22.5,66,ลมสงบ,ท้องฟ้าโปร่ง,10.0,1009.4,0.0
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,24.6,20.8,79,ลมสงบ,มีเมฆเป็นส่วนมาก,7.0,1007.9,0.0
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,33.1,22.0,52,ทิศตะวันตกค่อนไปทางใต้,ท้องฟ้าโปร่ง,9.0,1009.1,0.0
ภาคตะวันออกเฉียงเหนือ,นครพนม,29.0,21.6,64,ทิศตะวันออกเฉียงใต้,มีเมฆเป็นส่วนมาก,7.0,1008.3,0.0
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,32.5,20.7,50,ทิศตะวันตก,ท้องฟ้าโปร่ง,10.0,1009.6,0.0
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,31.0,20.7,54,ทิศตะวันออก,ท้องฟ้าแจ่มใส,5.0,1007.7,0.0
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,25.5,21.7,80,ลมสงบ,ท้องฟ้าโปร่ง,8.0,1008.5,0.0
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,35.0,22.2,48,ทิศตะวันตกเฉียงเหนือ,ท้องฟ้าโปร่ง,8.0,1008.6,0.0
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,34.0,21.5,48,ลมสงบ,ท้องฟ้าโปร่ง,9.0,1008.7,0.0
ภาคตะวันออกเฉียงเหนือ,ยโสธร,32.3,23.7,61,ทิศตะวันตกเฉียงใต้,ท้องฟ้าโปร่ง,10.0,1009.4,0.0
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,27.4,21.6,71,ทิศใต้ค่อนไปทางตะวันตก,มีเมฆบางส่วน,10.0,1007.3,0.0
ภาคตะวันออกเฉียงเหนือ,เลย,22.2,17.0,72,ลมสงบ,ท้องฟ้าแจ่มใส,6.0,1008.4,0.0
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,34.0,19.9,44,ทิศตะวันตกค่อนไปทางใต้,ท้องฟ้าโปร่ง,10.0,1009.8,0.0
ภาคตะวันออกเฉียงเหนือ,สกลนคร,35.5,21.2,44,ทิศตะวันตกเฉียงเหนือ,ท้องฟ้าแจ่มใส,6.0,1008.1,0.0
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,33.0,21.1,50,ทิศใต้ค่อนไปทางตะวันตก,ท้องฟ้าโปร่ง,10.0,1009.8,0.0
ภาคตะวันออกเฉียงเหนือ,หนองคาย,35.0,17.1,35,ทิศเหนือค่อนไปทางตะวันตก,ท้องฟ้าแจ่มใส,8.0,1008.3,0.0
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,24.0,18.5,71,ลมสงบ,ท้องฟ้าแจ่มใส,9.0,1006.7,0.0
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,32.5,23.3,58,ทิศใต้,ท้องฟ้าแจ่มใส,8.0,1009.2,0.0
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,25.6,19.6,69,ทิศตะวันตกค่อนไปทางใต้,ท้องฟ้าแจ่มใส,12.0,1007.4,0.0
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,26.5,22.2,77,ลมสงบ,ท้องฟ้าแจ่มใส,9.0,1008.7,0.0
ภาคกลาง,กรุงเทพมหานคร,32.1,24.9,66,ทิศใต้ค่อนไปทางตะวันตก,มีเมฆเป็นส่วนมาก,10.0,1010.0,0.0
ภาคกลาง,กาญจนบุรี,27.0,22.1,75,ลมสงบ,ท้องฟ้าแจ่มใส,8.0,1008.4,0.0
ภาคกลาง,ชัยนาท,31.7,24.6,66,ทิศใต้,มีเมฆบางส่วน,7.0,1010.3,0.0
ภาคกลาง,นครปฐม,26.2,24.9,93,ลมสงบ,ท้องฟ้าแจ่มใส,10.0,1008.2,0.0
ภาคกลาง,นครสวรรค์,33.0,22.4,54,ทิศตะวันออกค่อนไปทางเหนือ,ท้องฟ้าโปร่ง,7.0,1010.1,0.0
ภาคกลาง,นนทบุรี,0,0,0,ไม่มีข้อมูล,ไม่มีข้อมูล,0,0,0
ภาคกลาง,ปทุมธานี,32.0,24.9,66,ทิศตะวันออก,มีเมฆเป็นส่วนมาก,9.0,1011.0,0.0
ภาคกลาง,พระนครศรีอยุธยา,31.0,25.2,71,ทิศใต้,มีเมฆบางส่วน,9.0,1011.5,0.0
ภาคกลาง,ราชบุรี,25.5,24.8,96,ลมสงบ,มีเมฆบางส่วน,7.0,1009.3,0.0
ภาคกลาง,ลพบุรี,31.4,25.2,70,ทิศใต้,มีเมฆเป็นส่วนมาก,8.0,1010.1,0.0
ภาคกลาง,สมุทรปราการ,29.7,26.6,84,ทิศใต้,ท้องฟ้าโปร่ง,10.0,1010.5,0.0
ภาคกลาง,สมุทรสงคราม,31.1,26.4,76,ทิศใต้ค่อนไปทางตะวันออก,ท้องฟ้าแจ่มใส,10.0,1010.4,0.0
ภาคกลาง,สมุทรสาคร,0,0,0,ไม่มีข้อมูล,ไม่มีข้อมูล,0,0,0
ภาคกลาง,สระบุรี,0,0,0,ไม่มีข้อมูล,ไม่มีข้อมูล,0,0,0
ภาคกลาง,สิงห์บุรี,0,0,0,ไม่มีข้อมูล,ไม่มีข้อมูล,0,0,0
ภาคกลาง,สุพรรณบุรี,26.9,25.8,94,ทิศใต้,ท้องฟ้าโปร่ง,1.0,1008.1,0.0
ภาคกลาง,อ่างทอง,0,0,0,ไม่มีข้อมูล,ไม่มีข้อมูล,0,0,0
ภาคกลาง,อุทัยธานี,26.5,25.5,94,ทิศใต้ค่อนไปทางตะวันออก,มีเมฆเป็นส่วนมาก,3.0,1008.9,0.0
ภาคใต้ฝั่งตะวันออก,ชุมพร,31.8,23.9,63,ลมสงบ,ท้องฟ้าโปร่ง,8.0,1010.9,0.0
ภาคใต้ฝั่งตะวันออก,นครศรีธรรมราช,30.0,23.5,68,ทิศตะวันตก,มีเมฆเป็นส่วนมาก,10.0,1011.0,0.0
ภาคใต้ฝั่งตะวันออก,นราธิวาส,25.3,22.6,85,ลมสงบ,มีเมฆเป็นส่วนมาก,9.0,1008.9,0.0
ภาคใต้ฝั่งตะวันออก,ประจวบคีรีขันธ์,32.3,24.0,62,ลมสงบ,มีเมฆบางส่วน,10.0,1011.5,0.0
ภาคใต้ฝั่งตะวันออก,ปัตตานี,24.5,23.0,91,ลมสงบ,มีเมฆเป็นส่วนมาก,10.0,1009.2,0.0
ภาคใต้ฝั่งตะวันออก,พัทลุง,30.0,25.8,78,ทิศตะวันออก,มีเมฆบางส่วน,8.0,1011.3,0.0
ภาคใต้ฝั่งตะวันออก,เพชรบุรี,32.6,25.1,65,ไม่มีข้อมูล,ท้องฟ้าโปร่ง,8.0,1010.7,0.0
ภาคใต้ฝั่งตะวันออก,ยะลา,24.0,23.1,95,ลมสงบ,ท้องฟ้าโปร่ง,10.0,1010.0,0.0
ภาคใต้ฝั่งตะวันออก,สงขลา,30.5,24.8,72,ทิศเหนือค่อนไปทางตะวันออก,ท้องฟ้าโปร่ง,12.0,1011.6,0.0
ภาคใต้ฝั่งตะวันตก,กระบี่,32.3,24.8,65,ทิศตะวันออกค่อนไปทางเหนือ,ท้องฟ้าโปร่ง,10.0,1010.6,0.0
ภาคใต้ฝั่งตะวันตก,ตรัง,31.3,24.6,68,ทิศเหนือ,มีเมฆเป็นส่วนมาก,9.0,1011.0,0.0
ภาคใต้ฝั่งตะวันตก,พังงา,32.0,23.3,60,ทิศตะวันออกค่อนไปทางเหนือ,มีเมฆเป็นส่วนมาก,10.0,1010.5,0.0
ภาคใต้ฝั่งตะวันตก,ภูเก็ต,28.0,24.8,83,ลมสงบ,มีเมฆเป็นส่วนมาก,10.0,1008.4,0.0
ภาคใต้ฝั่งตะวันตก,ระนอง,30.9,22.9,62,ทิศตะวันออก,มีเมฆบางส่วน,11.0,1011.3,0.0
ภาคใต้ฝั่งตะวันตก,สตูล,31.7,26.7,75,ลมสงบ,มีเมฆเป็นส่วนมาก,10.0,1011.3,0.0
